symbol,name,headQuarter,dateFirstAdded,cik,founded
AAPL,Apple Inc.,"Cupertino, CA",,0000320193,1976-04-01
ABNB,Airbnb,"San Francisco, CA",,0001559720,2008-08-01
ADBE,Adobe Inc.,"San Jose, CA",,0000796343,1982-12-01
ADI,Analog Devices,"Wilmington, MA",,0000006281,1965-01-01
ADP,ADP,"Roseland, NJ",,0000008670,1949-01-01
ADSK,Autodesk,"San Rafael, CA",,0000769397,1982-01-30
AEP,American Electric Power,"Columbus, OH",,0000004904,1906-01-01
ALGN,Align Technology,"Tempe, AZ",,0001097149,1997-01-01
AMAT,Applied Materials,"Santa Clara, CA",,0000006951,1967-11-10
AMD,Advanced Micro Devices Inc.,"Santa Clara, CA",,0000002488,1969-05-01
AMGN,Amgen,"Thousand Oaks, CA",,0000318154,1980-04-08
AMZN,Amazon,"Seattle, WA",,0001018724,1994-07-05
ANSS,Ansys,"Canonsburg, PA",,0001013462,1970-01-01
ASML,ASML Holding,"Veldhoven, ",,0000937966,1984-01-01
ATVI,Activision Blizzard,"Santa Monica, CA",,0000718877,2008-07-10
AVGO,Broadcom Inc.,"San Jose, CA",,0001730168,1961-01-01
AZN,AstraZeneca,"Cambridge, ",,0000901832,1999-04-06
BIIB,Biogen,"Cambridge, MA",,0000875045,1978-01-01
BKNG,Booking Holdings,"Norwalk, CT",,0001075531,1996-01-01
BKR,Baker Hughes,"Houston, TX",,0001701605,1907-01-01
CDNS,Cadence Design Systems,"San Jose, CA",,0000813672,1988-01-01
CEG,Constellation Energy,"Baltimore, MD",,0001868275,1999-01-01
CHTR,Charter Communications,"Stamford, CT",,0001091667,1993-01-01
CMCSA,Comcast,"Philadelphia, PA",,0001166691,1963-11-13
COST,Costco,"Issaquah, WA",,0000909832,1983-09-15
CPRT,Copart,"Dallas, TX",,0000900075,1982-01-01
CRWD,CrowdStrike,"Austin, TX",,0001535527,2011-01-01
CSCO,Cisco,"San Jose, CA",,0000858877,1984-12-10
CSGP,CoStar Group,"Washington, DC",,0001057352,1987-01-01
CSX,CSX Corporation,"Jacksonville, FL",,0000277948,1980-11-01
CTAS,Cintas,"Cincinnati, OH",,0000723254,1929-01-01
CTSH,Cognizant,"Teaneck, NJ",,0001058290,1994-01-26
DDOG,Datadog,"New York, NY",,0001561550,2010-01-01
DLTR,Dollar Tree,"Chesapeake, VA",,0000935703,2001-01-01
DXCM,DexCom,"San Diego, CA",,0001093557,1999-01-01
EA,Electronic Arts,"Redwood City, CA",,0000712515,1982-05-27
EBAY,eBay,"San Jose, CA",,0001065088,1995-09-03
ENPH,Enphase Energy,"Fremont, CA",,0001463101,2006-01-01
EXC,Exelon,"Chicago, IL",,0001109357,2000-10-20
FANG,Diamondback Energy,"Midland, TX",,0001539838,2012-10-12
FAST,Fastenal,"Winona, MN",,0000815556,1967-01-01
FTNT,Fortinet,"Sunnyvale, CA",,0001262039,2000-01-01
GEHC,GE HealthCare,"Chicago, IL",,0001932393,1994-09-28
GFS,GlobalFoundries,"Malta, NY",,0001709048,2009-03-02
GILD,Gilead Sciences,"Foster City, CA",,0000882095,1987-06-22
GOOG,Alphabet Inc. (Class C),"Mountain View, CA",,0001652044,2015-10-02
GOOGL,Alphabet Inc. (Class A),"Mountain View, CA",,0001652044,2015-10-02
HON,Honeywell,"Charlotte, NC",,0000773840,1906-01-01
IDXX,Idexx Laboratories,"Westbrook, ME",,0000874716,1983-01-01
ILMN,"Illumina, Inc.","San Diego, CA",,0001110803,1998-01-01
INTC,Intel,"Santa Clara, CA",,0000050863,1968-07-18
INTU,Intuit,"Mountain View, CA",,0000896878,1983-01-01
ISRG,Intuitive Surgical,"Sunnyvale, CA",,0001035267,1995-01-01
JD,JD.com,"Beijing, ",,0001549802,1998-06-06
