symbol,1D,5D,1M,3M,6M,ytd,1Y,3Y,5Y,10Y,max
AAPL,-1.7254,-8.30086,-6.20411,3.042,15.64824,42.99992,8.47941,60.96299,245.42031,976.99441,139245.53954
ABNB,2.1617,-2.21919,9.88336,19.43286,19.64241,68.66902,23.64013,-1.04347,-1.04347,-1.04347,-1.04347
ADBE,0.5409,-1.77817,9.16191,52.0465,38.01522,57.22723,21.96206,17.83037,109.05718,1024.69214,251030.66399
ADI,0.9291,-4.03352,2.58486,3.65887,5.01602,17.02062,8.09735,63.42847,92.81874,286.77518,26012.63736
ADP,2.0589,2.35462,14.66581,16.40059,10.60546,5.53732,0.88894252,81.76679,81.87224,248.4095,27613.11042
ADSK,1.0641,-2.73812,1.06415,4.50139,-8.91348,10.02701,-7.69178,-13.76778,50.68792,483.8779,40643
AEP,-0.4431,-3.58803,-4.04556,-12.19194,-12.35371,-14.7465,-19.18465,-6.60508,13.53172,77.87552,135.71585
ALGN,-0.0526,-2.88978,9.6225,15.17982,4.6889,70.17618,23.26827,18.1289,-1.18442,724.20716,2040.74074
AMAT,3.2404,-0.15934139,7.74522,29.57091,24.77597,55.46366,39.46026,136.55812,203.00222,846.38137,157389.05599
AMD,0.8548,-2.24287,3.2164,30.02004,35.96787,82.45861,16.72829,37.66647,497.18814,3065.58266,3613.16596
AMGN,3.9707,8.68855,15.6826,6.93781,3.66393,-3.32887,2.28477,5.08953,26.21756,125.03559,73482.54545
AMZN,1.8987,9.27056,9.58545,34.60792,39.28117,65.71895,2.01564,-10.19934,52.7211,858.00074,145145.46299
ANSS,0.6729,-7.91725,-4.20714,1.66401,10.68606,28.51995,8.50876,-1.81516,77.50897,252.40722,10230.94737
ASML,2.2683,-0.3133985,-0.47650487,6.62751,2.16584,26.17501,21.06853,89.42279,224.69564,657.83607,32763.50711
ATVI,-0.0109,-0.07638586,11.0882,20.48684,21.12434,19.1077,13.04938,11.03432,30.38587,422.95831,9667.46667
AVGO,1.7479,-1.6705,5.94154,42.36336,45.99398,62.07632,64.43825,175.23088,307.18079,2305.63154,5444.25216
AZN,0.7637,-0.56874733,7.83346,-7.09446,8.77275,0.86542622,7.38636,26.20466,79.90738,179.10597,1287.04123
BIIB,0.859,0.567297,-1.39601,-14.72364,-6.93134,-0.51351649,24.66906,-11.27866,-22.52785,24.55456,8579.36
BKNG,5.8714,12.21488,22.98524,26.22154,30.38851,59.58046,65.81501,84.84166,56.06475,249.62051,552.18904
BKR,0.7644,0.19707207,7.49018,26.11623,9.44034,23.7913,46.64194,114.78576,1.16543,-11.88413,91.08725
CDNS,1.5022,0.40171051,2.44612,13.25278,23.42165,45.60261,26.09993,114.1712,414.70328,1514.16667,11522
CEG,-0.1828,8.08418,13.59904,30.51956,20.73781,26.66341,36.71103,147.02381,147.02381,147.02381,147.02381
CHTR,0.1361,0.66481064,12.76819,19.54681,4.17774,22.79115,-9.61534,-30.31219,41.20796,223.55935,1098.37143
CMCSA,1.3604,-0.10989011,9.70311,12.41652,14.5702,27.77622,17.77663,6.16678,28.38983,101.19522,46493.40209
COST,1.1539,1.11361,6.35368,11.89236,8.10795,23.19317,3.04669,63.79983,149.44608,367.9152,4976.45455
